nom_societe;adresse
Les Mains d'Adrien;33 Av. Jules Vercruysse, 93170 Bagnolet, France
Les Magnolias;3 Rue du Général Leclerc, 60250 Mouy, France
Les L De La Beauté;20 Quai de Cricklade, 44240 Sucé-sur-Erdre, France
Les Jardins d'Estrella Carcassonne;5 Rue du Carla, 11170 Moussoulens, France
Les Fees Douce Heure;5 Place Raymond David, 35130 La Guerche-de-Bretagne, France
Les énergies d'Alizée;331 Rte de Buglose, 40990 Téthieu, France
Les copines d'à côté;10 Bd Gallieni, 31460 Caraman, France
Les Chemains d'Isa;3 Rue de Nansouty, 65200 Bagnères-de-Bigorre, France
Les Bains d'Orient;311 Chem. de la Draye du Marbre, 34170 Castelnau-le-Lez, France
LES BAINS D'AMARA by la douceur de Léa;199 Bd Dr Cuneo, 83000 Toulon, France
Les bains;1 Av. Antoine Bourdelle, 93600 Aulnay-sous-Bois, France
L'ère des Sens;4 Quai Robert Leblanc, 27500 Pont-Audemer, France
L'équilibre des sens - Aix-en-Provence;70 Rue de la Coquillade, 13540 Aix-en-Provence, France
Léo Beauté;8 Av. Gabriel Péri, 87400 Saint-Léonard-de-Noblat, France
L'empreinte de Joy;13 All. des 3 Villas, 65100 Lourdes, France
L'Émerveille de Luna;16 Rue Saint-Jean, 22550 Matignon, France
L'Emeraude;234 Grand Rue, 62149 Festubert, France
L'Ecrin Vert ??;57 Rue de Marines, 95810 Vallangoujard, France
L'écrin des Sens;7 Kergoat, 29410 Guiclan, France
L'écrin à vernis (ongles, coiffure);39 Rue de l'Église, 84210 Althen-des-Paluds, France
L'Échoppe Beauté;53 Av. Paul Delorme, 69580 Sathonay-Camp, France
L'échappée belle;16 Av. Charles de Gaulle, 33650 La Brède, France
LeChalet | Massages Intuitifs&Sportifs, Duo, 4mains, soins Ayurvédiques, massage Prénatal;3a Rue des Prés, 68220 Wentzwiller, France
L'eau de Rose;1 B Rue de l'Abbé Léonard, 95520 Osny, France
Léa Kobido;57 Rue de la Grande Horloge, 47000 Agen, France
Le Voyage des Sens;Village des métiers d'art, 62240 Longfossé, France
Le temps d'une pause;52 Rue du Général Leclerc, 78380 Bougival, France
Le temps d'une Douce Heure;67 Rue du Général de Gaulle Quartier, 67 Rue du Général de Gaulle, 85150 Les Achards, France
Le temps d'un massage Hyères;112 Chem. de Beauvallon Bas, 83400 Hyères, France
Le temps d'un massage;5 Chem. de Pique Tuile, 33750 Saint-Germain-du-Puch, France
Le temps d un soin - Llupia;D612, 66300 Llupia, France
Le Temple De L'Energie;19 Rue Duguay, 95100 Argenteuil, France
Le Soleil Massage;214 Rue Paul Vaillant Couturier, 94140 Alfortville, France
Le Secret Du Bonheur;55 bis Quai de Cornouaille, 29800 Landerneau, France
Le salon du soin - Institut de beauté;Rue de la Filée, 44140 Aigrefeuille-sur-Maine, France
"Le Salon Distenn, Massages, Soin du Visage ; Kobido, Anti-age, Drainage Lymphatique. Theix-Noyalo. .";5 Rue Jean Moulin, 56450 Theix-Noyalo, France
Le Salon des Sens;48 Rue de la Madeleine, 35410 Châteaugiron, France
Le Salon de Thao;47 Av. de la Côte Bleue, 13960 Sausset-les-Pins, France
Le Rituel d’Éole – Institut de massage homme Narbonne / Hérault / Aude;1 Imp. Arago, 11590 Ouveillan, France
Le Refuge Détente;205 Rue de la Pépinière, 26620 Lus-la-Croix-Haute, France
Le Poudrier;11 Pl. le Sciellour, 56150 Baud, France
Le petit institut - Institut de beauté eco-responsable;24 Rue de l'Église, 71430 Palinges, France
Le Pavillon des Ondines;79 Av. du Général de Gaulle, 33500 Libourne, France
Le Patio des Capucines - Institut de beauté Nantes;10 Rue de l'Héronnière, 44000 Nantes, France
Le Palais d'Orient;5 Rue de la Forêt, 76500 Elbeuf, France
Le Palais Des Sens;1 Rue du Palais, 52000 Chaumont, France
Le moulin de la détente;1 Rue du Fort, 02450 La Neuville-lès-Dorengt, France
Le Monde De Flo;20 Rue des Carrières, 85800 Le Fenouiller, France
Le Massage de la Salamandre;4 Kerbiguet, 22140 Brélidy, France
Le Massage;105 Rue René Armenico, 13370 Mallemort, France
Le Loft Beauté (M'line Esthétique);14 Av. nationale, 19700 Seilhac, France
Le Lien Doré_massage;Naturopole Maison de santé, 32330 Lagraulet-du-Gers, France
Le Jardin d'Isis;1945 Av. Marechal Juin, 30900 Nîmes, France
Le Jardin des Sens;1 Pl. Saint-Martin, 25110 Baume-les-Dames, France
Le jardin des secrets;5 Pl. de l'Entre-Deux Mers, 33370 Pompignac, France
Le Jardin des Agaves;180 Chem. des Plaines, 38140 Apprieu, France
Le Jardin d'Edenne;235 Rue Marcel Belot, 45160 Olivet, France
Le Jardin de la Beauté;52 Rue Maréchal Foch, 14140 Livarot-Pays-d'Auge, France
Le Comptoir du Soin;2 Chem. de la Censive du Tertre, 44300 Nantes, France
Le comptoir des soins;23 Bd de la République, 07100 Annonay, France
Le Comptoir des Paumes;29 Rue de Saintonge, 17540 Saint-Sauveur-d'Aunis, France
le comptoir d'Epione;9013 Rue Alphonse Daudet, 19360 Malemort, France
Le Comptoir de la Beauté;520 Av. de la République, 06550 La Roquette-sur-Siagne, France
Le Coin Beauté;6 Imp. des Renoncees, 26250 Livron-sur-Drôme, France
Le CoCooning De Nel formatrice du massage de L’Eveil au Naturel, et Reiki 1,2,3,4;151 Rue de l'Aérodrome, 79000 Niort, France
LE COCON DE DEL;1 Rue Cure d'Air, 91390 Morsang-sur-Orge, France
Le cocon de coton;47 Av. du Président S Allende, 91300 Massy, France
Le Cocon de Clea;Près du Camping, 340 Rte des Ripettes, 01190 Saint-Bénigne, France
Le cocon de Baya;26 Côte de la Moulière, 11290 Alairac, France
Le Cocon d'Alexandre;11 Rue Sophie Germain, 35235 Thorigné-Fouillard, France
Le Cocon d’Elise - Thorée Les Pins;4 rue des coquelicots, 72800 Thorée-les-Pins, France
LE COCON;19 Rue Jean-Claude Bouquet, 25500 Morteau, France
Le Chant du Monde;5 Cr Pasteur, 64800 Nay, France
Le Chalet Secret;1390 Rte du Bignac, 24520 Saint-Nexans, France
Le chalet des pierres chaudes;34 bis Rue des Mobiles de Coulmiers, 24600 Ribérac, France
LE BOUDOIR ZEN;1265 Rte de Malagar, 33880 Baurech, France
Le Boudoir des Sens, Institut Amandine;52 Av. de Paris, 33620 Cavignac, France
Le Boudoir de Céline;18 Av. Georges de Saint-Sauveur, 18120 Méreau, France
Le bonheur est en soin;591 Rte de Chateauvilain, 38300 Eclose-Badinières, France
Le Bar à Massages;8 Rue du Général de Gaulle, 02880 Bucy-le-Long, France
Le 4 Mains Paris Massages;40bis Rue du Faubourg Poissonnière, 75010 Paris, France
L'DIA MASSAGE;Rue de Beau Soleil, 37510 Ballan-Miré, France
Lazelyse beauty;7 Bd Micha?l Faraday, 77700 Serris, France
Laurent MINET;138 Rue Guillaume Cale, 60600 Breuil-le-Vert, France
Laurence Legros Drainage Lymphatique;La Berrerie, 53470 Martigné-sur-Mayenne, France
Laurence Institut;38 Rue de Pont sur Sambre, 59570 La Longueville, France
Laure Fauville - Massage & Ayurveda;10 All. de Jouy, 95280 Jouy-le-Moutier, France
L'aube Des Sens;17 Rue du Marché, 49400 Saumur, France
L'attrape-beauté institut par Sandy;22 Rue des Prés Martin, 79100 Louzy, France
Lateliermd_;Rue Notre Dame, 57420 Lorry-Mardigny, France
L'atelier Nature;1607 Av. du 11 Novembre 1918, 40440 Ondres, France
L'atelier multi'color;45 LE FOURNET, 79700 Mauléon, France
L'Atelier Intérieur | Yoga & Massages à Bagnères-de-Bigorre;25 Rue du Maréchal Foch, 65200 Bagnères-de-Bigorre, France
L'Atelier d'Océ - Institut de Beauté & Centre de Formation;76 All. Louis Blériot, 30320 Marguerittes, France
L'Atelier d'O LES BOIS VERTS;Anciennement 2 catalan, 1083 route des moulins, 33840 Lucmau, France
L'Atelier des Anges;1 Av. de la Libération, 13720 La Bouilladisse, France
L'Atelier Bulle de Douceur;9 Vla Cr Creuse, 92140 Clamart, France
L'Atelier Beauté;Entrée, 30 Rue Louis Bosc, Av. du Général de Gaulle, 83250 La Londe-les-Maures, France
L'Art des Sens;43 Rue Marcel Boucton, 02190 Aguilcourt, France
L'Ansouisienne - Institut de beauté Luberon;57 Rue du Vieux Moulin, 84240 Ansouis, France
Lanna Massage Thérapie;6 Rue de Fontenay, 79000 Niort, France
L'Angélo;152 Rte de Frébuge, 73210 Aime-la-Plagne, France
L'Amour de soi - Institut de beauté / Iville;1 A Rue du Val, 27110 Iville, France
L'âme du Phénix;La Pacha M, 6 bis Chem. d'en Mauran, 31450 Ayguesvives, France
Laffittothérapie;24 Rue Masson, 78600 Maisons-Laffitte, France
Lady M Gold : Esthéticienne et Onglerie à proximité;10 Rue Marie Durand, 30190 La Calmette, France
Lady Bell;26 Rue du Dr Roux, 35150 Janzé, France
l'adora headspa;5 Bis Rue de la Paix, 77500 Chelles, France
L'Accord Des Sens;10 Rue du Landskron, 68330 Huningue, France
LaBel Indi;28 Av. de Courpian, 47000 Agen, France
LA VOIE DU ZEN;21 Av. Paul Eluard, 13550 Noves, France
La Villa Détente;19 rue du château d'eau, 79160 Ardin, France
La Vie en Douce Heure;101 Rue Robert Schuman, 59930 La Chapelle-d'Armentières, France
La Vallée des Fées;9 Rue du Commerce, 25660 Morre, France
La touche Étoile;123 Rue du Plessis Bouchard, 95130 Franconville, France
La tête ailleurs - Headspa;2 allée des mille sources, 95260 Beaumont-sur-Oise, France
La sphère de Lyla;14 Rue Albert 1er, 30100 Alès, France
La Roulotte Mieux Être - Institut de beauté;26 Rue de la Tuilerie, 10700 Pouan-les-Vallées, France
La Rose du Desert;6 Rue des Artisans, 74100 Ville-la-Grand, France
LA REINE | MASSAGE EPILATION PARIS 75003 | ONGLERIE PARIS 03;41 R. de Turbigo, 75003 Paris, France
La reina de la beauty;54bis Rue Jean Philippe Canonne, 59580 Émerchicourt, France
La petite magnolia;24 Rue Saint-Blaise, 57660 Grostenquin, France
La Perle de Beauté;30 Place Louis Le Sénéchal, 62250 Marquise, France
La pause légère;113 Sq. de l'Alouette, 79230 Aiffres, France
La patte de l’ours massage;8 Rte de Verniaz, 74200 Margencel, France
La Parenthèse Massages;4 bis Rue du Ctre, 25320 Boussières, France
LA PARENTHESE DETENTE;74 Rue de la Mairie, 67117 Furdenheim, France
La Parenthèse des Sens;45 Ter Cr national, 13690 Graveson, France
La Parenthèse de Berthe;3 Rue Camille Claudel, 26120 Malissard, France
La parenthèse _ Esthétique & Onglerie _ 85230;8 Rue de la Croix Blanche, 85230 Beauvoir-sur-Mer, France
La Memoire De L Eau;Batiment B1 residence la tuilerie, Chem. du Maltrait, 13112 La Destrousse, France
La Marmotte qui Masse;2 Pl. du Bourg Vieux, 73630 Le Châtelard, France
La Maison Massages du Monde;2 chemin de cabrolous, 395 Chem. des Romains à côté du, Poussan, France
La Maison du Tui Na;22 Quai Jean Moulin, 69002 Lyon, France
La Maison du Mieux-Etre;86 bis Rue Aristide Briand, 76410 Saint-Aubin-lès-Elbeuf, France
La Maison du Lotus;130 Av. Joseph Kessel, 78960 Voisins-le-Bretonneux, France
La Maison de la Coquetterie;57 Rue André Teroy, 72220 Écommoy, France
La Maison de Beauté - Cilaos;4 Rue d'Anjou, 49125 Tiercé, France
La Maison de Beauté;1 Rue du Four, 80500 Rollot, France
LA MAISON BIOTY - BIOTY AT HOME - institut de beauté Brunoy;10 Grande Rue, 91800 Brunoy, France
La magie d'élizen;4 Chem. du Terrier Pruvot, 02260 La Flamengrie, France
La fontaine de jouvence;Le Treytin, 33112 Saint-Laurent-Médoc, France
la fée de l'effet;7 Chem. de Faux Vallet, 91310 Linas, France
La fabriK;17 Rue de la Libération, 50320 La Haye-Pesnel, France
La Douceur Des Mains massages et soins énergétiques;5 La Garenne, 85220 Coëx, France
La douceur de lau;176 Rue Lucie Aubrac, 62217 Beaurains, France
La Douce Heure;22 Rue du Château, 78660 Boinville-le-Gaillard, France
La Coquetterie;30 Chem. de la Fontaine, 06530 Le Tignet, France
La Clinik Beauté by Sharonaé (Institut);765 Rte de Paris, 76520 Franqueville-Saint-Pierre, France
La Clef Beauté - Institut de Beauté - Clef Vallée d’Eure;Rue du Manoir Face 4, 27490 Clef Vallée d'Eure, France
La Chimère Institut;511 Les Esclaveoux, 83470 Seillons-Source-d'Argens, France
La Cabane du Mieux-Être;2190 Rte des Grottes, 74210 Faverges-Seythenex, France
La Cabane Beauté;24 Rte des Bruyères, 62219 Longuenesse, France
La Bulle Enchantée;7 Pl. de l'Horloge, 19210 Lubersac, France
La bulle du Temps;11 Av. Arthur Mullot, 11000 Carcassonne, France
La Bulle D'O2 - Épernon;7 - 9 Rue Bourgeoise, 28230 Épernon, France
La Bulle de Lili;36 Bd Jean Moulin, 83780 Flayosc, France
La Bulle;32 Rue du 26 Novembre 1944, 57730 Folschviller, France
LA BERGERIE;19 Chem. de la Bergerie, 30820 Caveirac, France
La Beauté au natur'elle;3 Pl. du Colombier, 91490 Milly-la-Forêt, France
L’institut Vanessa;17 Rue du Pâquis, 54800 Abbéville-lès-Conflans, France
L’institut du canal;35 Rue Etienne Marcel, 93500 Pantin, France
L’institut de Lucy (Lu’cils);1 Rue du Pis Aller, 27600 Fontaine-Bellenger, France
L’institut de Caroline;83 Bis Rue Marcel Lancino, 62153 Ablain-Saint-Nazaire, France
L’INSTITUT By Aya - Livry-Gargan;68 Av. Jean Jacques Rousseau, 93190 Livry-Gargan, France
L’instant précieux by gwen;22 Cité des Écoles, 02000 Chivy-lès-Étouvelles, France
L’harmonie des sens;21 Bd Gambetta, 02700 Tergnier, France
L’Escapade – Massages sur-mesure, drainage & kobido à La Motte-Servolex près de Chambéry;75 Rue de la Petite Eau, 73290 La Motte-Servolex, France
L’Enchanteuse;16 Rue d'Alzing, 57320 Bouzonville, France
L’Eden de Camila by Yasmina;14bis Rue de la Gare, 60250 Mouy, France
L’Atelier De Mathilde;Chem. aux Bœufs, 78121 Crespières, France
L’atelier beauté by Clara;3 Pl. de la Voile, 56390 Locmaria-Grand-Champ, France
L’arbre de Vie - Massage & Yoga;8 Rossignier, 25570 Grand'Combe-Châteleu, France
L.Esthetique;3 Rue Nicolas Ledoux, 78280 Guyancourt, France
L Respire Zen;route Zoo de Beauval, Tavenay lieu dit, 41110 Châteauvieux, France
L Institut Des Bains;2 Rue Carnot, 33130 Bègles, France
L' institut d'Anse - Institut de beauté;714 Rte de Lyon, 69480 Anse, France
L' Institut;3 Rue Maréchal Foch, 57185 Clouange, France
L Instant Beaute;10 Rue Victor Hugo, 77450 Esbly, France
L Ile de Beaute;11 Av. du Général Leclerc, 45420 Bonny-sur-Loire, France
L' Autre Beauté;18 Bd Noël Marc, 78570 Andrésy, France
L' Atelier des sens pontrieux;ZA du port, 32 Rue du Chemin Vert, 22260 Pontrieux, France
L' Atelier des Sens;2 Rue des lavandières, 85500 Saint-Paul-en-Pareds, France
L' ATELIER DES P'TITS SOINS;9 Rue de l'Abbe Verger, 44530 Guenrouet, France
L' Atelier Beauté GUICHEN;12 Bd Victor Edet, 35580 Guichen, France
L' Art du Massage ( uniquement sur RDV);Le Pont, Rte de Laval, 72300 Sablé-sur-Sarthe, France
L' Appart De Linaya;5 Rue Jacques Cartier, 56450 Theix-Noyalo, France
L & COCO;17 Chem. de Roty, 69380 Lissieu, France
Kor-zen by Patrick,;10 Rue de Roglazou, 22970 Ploumagoar, France
Kommaly Massage;745 Av. Youri Gagarine, 30100 Alès, France
Kobido des cîmes;2 place de la saint jean, 73260 Grand-Aigueblanche, France
Kim-ly Beauty;9 Rue de la Haute-Valois, 69700 Millery, France
KIM BEAUTE;21 Rue Charles de Gaulle, 68130 Altkirch, France
Kellydoux;23 Rue d'Alençon, 61000 Saint-Germain-du-Corbéis, France
Keiko Massage | institut à Cenon et à domicile en Gironde;13 Rue Harmens Rembrandt, 33150 Cenon, France
kechnaya d'orient;16 Cr des Lavandières, 93400 Saint-Ouen-sur-Seine, France
Katnai institutspa;9 Rue Louis Blanc, 95260 Beaumont-sur-Oise, France
Karima El Tahery;8 Pl. de l'Hôtel de ville, 60600 Clermont, France
Kannika massage;6 Rue de la République, 83210 Solliès-Toucas, France
Kaline Beleza;136 Rue du Bac, 59193 Erquinghem-Lys, France
Kairos Massage;2 Imp. Amans, 34170 Castelnau-le-Lez, France
KA beauty and sculpt - Clamart;2 Rue de Châtillon, 92140 Clamart, France
Justine esthetique;4 Rue du Collège, 01130 Nantua, France
Juste une douc'heure;29 Pl. de la République, 17290 Aigrefeuille-d'Aunis, France
Joyce's Home & Care - Cabinet de massage;16 Rue d'Artois, 57700 Hayange, France
JOY&CO Cil;13 Rue du Couvent, 31410 Longages, France
Jolies Momes;7 Rue Travot, 49300 Cholet, France
JiXiang Beauté Coulommiers;9 Bis Rue du Général Leclerc, 77120 Coulommiers, France
Jiu Hong Massage;24 Rue du Four, 91240 Saint-Michel-sur-Orge, France
Jia Jia Massage;24 Rue du Faubourg, 77260 La Ferté-sous-Jouarre, France
J'esthetic Institut de Beauté;9 Rue Jeu de Ballon, 34190 Ganges, France
Jérémie Centre de Beauté Louviers;8 Rue du Matrey, 27400 Louviers, France
J'épile ou face;18 Rue de Verdun, 24300 Nontron, France
Jeanne Massothérapie en Cévennes;27 Rue Biron, 34190 Ganges, France
Jeanahé;17 Rue Maurice Bouchery, 59113 Seclin, France
Jatamansi Ayurveda;9 Pl. du Minage, 85400 Luçon, France
Jardins D'Olivier - Irrigation du Côlon - Jeûne - Massages;21 Rue des Vosges, 70200 Malbouhans, France
Jardin Secret - Esthétique;246 Rue Auguste Potié, 59320 Haubourdin, France
Jardin d'O;62 Gd Rue de la Coupée, 71850 Charnay-lès-Mâcon, France
JARDIN DES SENS - Massages - EI;784 Rte de Bellecombe, 38880 Autrans-Méaudre en Vercors, France
Jardin de détente;47 Av. de Gramont, 03200 Vichy, France
J'adore beauté indienne;12 Av. Charles de Gaulle, 91380 Chilly-Mazarin, France
Jade Centre de Beauté;10 Rue de Cernay, 68210 Dannemarie, France
J’peux pas j'ai massage;3 Côte du Monastère, 12000 Rodez, France
Isalyne;Institut Isalyne, 8 Rue de la Libération, 56350 Allaire, France
Irisroyal;derrière la boulangerie, 3 Imp. des Chasses Marées, 95610 Éragny, France
Intitut Natur'Elle et Lui;34 Rue de Brioux, 79230 Prahecq, France
Intemporelle;54 Rte de Cahors, 46090 Arcambal, France
INSTITUT YSAE;35 Av. de l'Isle, 24420 Sarliac-sur-l'Isle, France
Institut Valérie;1 Rue Mal Joffre, 66200 Alénya, France
Institut U'Vénus;18 Bd de l'Europe, 02300 Chauny, France
Institut Une parenthèse;58 Rue Aristide Briand, 27120 Ménilles, France
Institut Terre de Beauté - St Etienne de Montluc;19 Rue Amaury d'Acigné, 44360 Saint-Étienne-de-Montluc, France
Institut Terre De Beauté - Couëron;65 Bd des Martyrs de la Resistance, 44220 Couëron, France
Institut Temae;route de l’école de crucetta, résidence l’alivetu, 20290 Lucciana, France
Institut Tania Dufourmentel;1 Rue des fauvettes, 64800 Baudreix, France
INSTITUT SWANY'S;2 Rue Marcel Pagnol, 85400 Luçon, France
Institut Soins Douceur;3 bis Pl. Verdon, 85660 Saint-Philbert-de-Bouaine, France
Institut So Beauty;3 Rue Pasteur, 78270 Bonnières-sur-Seine, France
Institut Simone Mahler;12 Rue Dr Robert, 21400 Châtillon-sur-Seine, France
Institut Serenity;Rue des Postes, 51510 Fagnières, France
Institut Sérénité / Oloron-Sainte-Marie;16 Pl. Georges Clemenceau, 64400 Oloron-Sainte-Marie, France
INSTITUT SERENITE;4 Rue de Pommard, 21800 Chevigny-Saint-Sauveur, France
Institut Secret Détente Hammam Sauna Lumiere Pulsee;10 Rue Jean Doucet, 16470 Saint-Michel, France
Institut San Martin | Institut de beauté à Marolles-en-brie;4 Pl. des Quatre Saisons, 94440 Marolles-en-Brie, France
Institut Sable Et Bambou;24 Rue Emile Salaün, 29460 Hôpital-Camfrout, France
Institut Rituel Beauté;Rue Valentine Bussière, 24420 Antonne-et-Trigonant, France
Institut Rituel;5 Rue de la Libération, 56410 Étel, France
Institut Récreation Beauté Pamiers;26 Rue de la République, 09100 Pamiers, France
Institut Quintessence;20 Rue Victor Hugo, 33230 Coutras, France
Institut Quick Epil' Altkirch;6 a Rte de Thann, 68130 Altkirch, France
Institut Pretty Beauty;97 Rue de la République, 76320 Caudebec-lès-Elbeuf, France
Institut Prestige - Fronton;24 Rue de la République, 31620 Fronton, France
Institut Plaisirs & Soins;11 Rue de la Victoire, 56740 Locmariaquer, France
Institut Phyt's Caillac;Laboratoires Phyt's, La Bouygue, 46140 Caillac, France
Institut Perle d'O Chatillon-sur-Seine;12 Rue Dr Robert, 21400 Châtillon-sur-Seine, France
Institut Peau de Pêche;6 Rue du 11 Novembre 1918, 69550 Amplepuis, France
Institut Pause Detente;76 Av. de Flandre, 60190 Estrées-Saint-Denis, France
